GAME_ID,EVENTNUM,PERIOD,PCTIMESTRING,SCORE,SCOREMARGIN
0022200001,2,1,12:00,0 - 0,0
0022200001,4,1,12:00,0 - 0,0
0022200001,7,1,11:38,0 - 0,0
0022200001,9,1,11:35,0 - 0,0
0022200001,10,1,11:35,0 - 0,0
0022200001,11,1,11:15,0 - 2,2
0022200001,12,1,11:05,0 - 2,2
0022200001,13,1,11:05,0 - 2,2
0022200001,14,1,11:03,2 - 2,TIE
0022200001,15,1,10:46,2 - 5,3
0022200001,17,1,10:33,2 - 5,3
0022200001,18,1,10:31,2 - 5,3
0022200001,19,1,10:25,2 - 5,3
0022200001,21,1,10:25,2 - 6,4
0022200001,22,1,10:25,2 - 7,5
0022200001,23,1,10:12,2 - 7,5
0022200001,25,1,10:12,2 - 7,5
0022200001,27,1,10:09,2 - 7,5
0022200001,28,1,10:07,2 - 7,5
0022200001,29,1,10:04,2 - 7,5
0022200001,31,1,10:04,2 - 7,5
0022200001,33,1,9:59,2 - 7,5
0022200001,35,1,9:53,2 - 7,5
0022200001,36,1,9:51,2 - 7,5
0022200001,37,1,9:47,2 - 7,5
0022200001,39,1,9:42,2 - 9,7
0022200001,41,1,9:37,2 - 9,7
0022200001,43,1,9:37,2 - 9,7
0022200001,44,1,9:23,2 - 9,7
0022200001,45,1,9:19,2 - 9,7
0022200001,46,1,9:14,2 - 9,7
0022200001,48,1,9:14,2 - 9,7
0022200001,49,1,8:52,2 - 9,7
0022200001,50,1,8:49,2 - 9,7
0022200001,51,1,8:49,2 - 9,7
0022200001,53,1,8:49,2 - 9,7
0022200001,54,1,8:49,2 - 9,7
0022200001,55,1,8:49,3 - 9,6
0022200001,56,1,8:35,3 - 9,6
0022200001,57,1,8:33,3 - 9,6
0022200001,58,1,8:24,3 - 9,6
0022200001,60,1,8:24,3 - 9,6
0022200001,61,1,8:24,4 - 9,5
0022200001,62,1,8:24,5 - 9,4
0022200001,63,1,8:24,6 - 9,3
0022200001,67,1,8:24,6 - 9,3
0022200001,64,1,8:14,6 - 9,3
0022200001,69,1,8:04,6 - 9,3
0022200001,70,1,8:02,6 - 9,3
0022200001,71,1,7:55,6 - 9,3
0022200001,72,1,7:52,6 - 9,3
0022200001,73,1,7:47,8 - 9,1
0022200001,75,1,7:35,8 - 9,1
0022200001,77,1,7:28,11 - 9,-2
0022200001,79,1,7:06,11 - 9,-2
0022200001,81,1,7:06,11 - 10,-1
0022200001,82,1,7:06,11 - 11,TIE
0022200001,83,1,6:58,14 - 11,-3
0022200001,84,1,6:42,14 - 11,-3
